Contact,Phone Number,Department,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
Alex Lee,202-732-5085,Finance,0,1,0,1,1,1,1,1,1,1
David Robertson,203-399-4830,IT,1,1,1,1,0,1,0,0,0,1
Aleena Woods,215-557-7781,Finance,1,0,0,0,0,1,0,1,0,1
Ricky Decker,212-921-3827,IT,1,0,1,1,1,1,1,1,1,1
Cathy Tanner,617-925-1173,Finance,1,0,0,0,0,0,1,1,0,1
Tom Parks,912-465-7322,Accounting,1,0,1,0,0,1,0,0,1,0
Betty Wilder,804-338-1184,Finance,1,0,0,1,1,1,1,1,1,1
Duncan Bogg,804-986-9111,Accounting,1,1,1,0,1,0,0,1,0,1
Jon Townsend,615-423-1779,Finance,1,1,1,1,1,1,1,1,0,1
Mike Beaulieu,504-354-3159,Accounting,1,0,0,1,0,1,0,1,0,1
Stanley Smith,217-559-8392,Finance,1,0,0,0,1,1,1,0,0,1
Linda Lee,312-888-8274,Accounting,1,1,1,1,1,1,1,1,1,1
Ken Walters,515-992-2137,Finance,1,1,1,0,1,0,1,0,1,0
Phil Nelsom,216-433-1403,IT,1,1,1,0,1,1,1,1,1,1
Laura Samson,312-444-9553,Accounting,1,1,1,0,1,1,1,1,1,1
Gary Tan,406-435-1017,IT,0,0,0,1,1,0,0,0,1,1
Chris Long,503-662-0453,Accounting,1,0,1,0,0,0,1,0,1,1
Tracy Stevens,208-625-9029,IT,1,0,1,0,0,0,1,0,0,1
Lee Chin,213-777-4043,Accounting,1,1,1,1,1,1,1,1,1,1
Kiran Dev,210-267-4902,IT,1,1,1,1,1,1,1,1,1,1
Harvey Cross,505-785-1717,Finance,1,1,1,1,1,1,1,1,1,1
Alan Steel,415-457-4333,Accounting,1,1,1,1,1,1,1,1,1,1
Doug O'Connor,713-691-7450,Finance,1,1,1,1,1,1,1,1,1,1
Catherine Turner,604-337-4921,Accounting,1,1,1,1,1,1,1,1,1,1
Sheila De Silva,416-523-3951,Finance,1,1,1,1,1,1,1,1,1,1
Pedro Martinez,52-78940382,Accounting,1,1,1,1,1,1,1,1,1,1
Don McInnes,604-936-7751,Finance,1,1,1,1,1,1,1,1,1,1
Guillermo Borbon,52-49034858,IT,1,1,1,1,1,1,1,1,1,1
Renee St. Clair,514-385-1213,Finance,1,1,1,1,1,1,1,1,1,1
Jorge Arias,52-309058397,IT,1,1,1,1,1,1,1,1,1,1
Juan Gutierrez,52-59957583,Finance,1,1,1,1,1,1,1,1,1,1
